# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
3.517808849565929919e+07,3.345680400653820198e-03,6.373312397911480576e-02,2.677001102355019979e-01,2.122592528858779914e+00,1.601908649088469922e-05,1.565393881781479979e-05
3.519320951361440122e+07,3.395041654683050077e-03,6.375075663890350519e-02,2.678173692502670011e-01,2.121530658990709917e+00,1.597296298865499977e-05,1.560782204668559992e-05
3.520808694708359987e+07,3.157910027796850209e-03,6.374202604022649599e-02,2.679638160881219755e-01,2.132244822465029888e+00,1.505580409468959975e-05,1.469065770665560044e-05
3.522308849565929919e+07,3.345680400653729993e-03,6.373312397911419513e-02,2.677001102355059947e-01,2.123978722523379936e+00,1.601908649088329992e-05,1.565393881781340050e-05
3.523820951361440122e+07,3.395041654683099951e-03,6.375075663890469868e-02,2.678173692502959780e-01,2.122916816393800143e+00,1.597296298865519967e-05,1.560782204668570157e-05
3.525308694708359987e+07,3.157910027797119958e-03,6.374202604022530250e-02,2.679638160880750131e-01,2.133630944191769796e+00,1.505580409469160044e-05,1.469065770665769939e-05
3.526808849565929919e+07,3.345680400655070066e-03,6.373312397911430616e-02,2.677001102355249795e-01,2.125364808276930084e+00,1.601908649088449932e-05,1.565393881781459989e-05
3.528320951361440122e+07,3.395041654683050077e-03,6.375075663890590605e-02,2.678173692503170167e-01,2.124302865888750169e+00,1.597296298865519967e-05,1.560782204668570157e-05
3.529808694708359987e+07,3.157910027795569983e-03,6.374202604022380370e-02,2.679638160880359887e-01,2.135016958013220112e+00,1.505580409468880015e-05,1.469065770665480084e-05
3.531308849565929919e+07,3.345680400655689796e-03,6.373312397911509719e-02,2.677001102355620055e-01,2.126750786127909798e+00,1.601908649088460096e-05,1.565393881781459989e-05
3.532820951361440122e+07,3.395041654681340074e-03,6.375075663890669708e-02,2.678173692503270087e-01,2.125688807484030107e+00,1.597296298865149983e-05,1.560782204668199834e-05
3.534308694708359987e+07,3.157910027796489820e-03,6.374202604022199958e-02,2.679638160879920239e-01,2.136402863937589824e+00,1.505580409469090079e-05,1.469065770665699974e-05
3.535808849565929919e+07,3.345680400655999878e-03,6.373312397911619354e-02,2.677001102355979767e-01,2.128136656084730127e+00,1.601908649088500076e-05,1.565393881781510134e-05
3.537320951361440122e+07,3.395041654680519983e-03,6.375075663890650279e-02,2.678173692503019732e-01,2.127074641187939985e+00,1.597296298865140158e-05,1.560782204668199834e-05
3.538808694708359987e+07,3.157910027796439947e-03,6.374202604022149998e-02,2.679638160879970199e-01,2.137788661973389903e+00,1.505580409468870020e-05,1.469065770665469920e-05
3.540308849565929919e+07,3.345680400656070135e-03,6.373312397911740090e-02,2.677001102356280082e-01,2.129522418155779917e+00,1.601908649088509902e-05,1.565393881781510134e-05
3.541820951361440122e+07,3.395041654680810116e-03,6.375075663890529543e-02,2.678173692502520131e-01,2.128460367008880194e+00,1.597296298865479987e-05,1.560782204668529838e-05
3.543308694708359987e+07,3.157910027797969973e-03,6.374202604022140284e-02,2.679638160880090103e-01,2.139174352128930146e+00,1.505580409469090079e-05,1.469065770665699974e-05
3.544808849565929919e+07,3.345680400656019828e-03,6.373312397911859439e-02,2.677001102356509898e-01,2.130908072349460003e+00,1.601908649088480086e-05,1.565393881781490144e-05
3.546320951361440122e+07,3.395041654679120061e-03,6.375075663890389377e-02,2.678173692502169856e-01,2.129845984955330174e+00,1.597296298865050033e-05,1.560782204668099884e-05
3.547808694708359987e+07,3.157910027798709832e-03,6.374202604022209673e-02,2.679638160880449815e-01,2.140559934412700205e+00,1.505580409469120064e-05,1.469065770665719964e-05
3.549308849565929919e+07,3.345680400656199805e-03,6.373312397911970462e-02,2.677001102356669771e-01,2.132293618674169888e+00,1.601908649088580036e-05,1.565393881781590094e-05
3.550820951361440122e+07,3.395041654680140079e-03,6.375075663890200639e-02,2.678173692501670256e-01,2.131231495035529999e+00,1.597296298865420017e-05,1.560782204668480032e-05
3.552308694708359987e+07,3.157910027798999965e-03,6.374202604022319307e-02,2.679638160880820075e-01,2.141945408833109799e+00,1.505580409469140054e-05,1.469065770665739954e-05
3.553808849565929919e+07,3.345680400655240069e-03,6.373312397911959359e-02,2.677001102356459938e-01,2.133679057138360147e+00,1.601908649088560046e-05,1.565393881781570104e-05
3.555320951361440122e+07,3.395041654680090205e-03,6.375075663890150679e-02,2.678173692501720216e-01,2.132616897257970212e+00,1.597296298865079849e-05,1.560782204668130038e-05
3.556808694708359987e+07,3.157910027799110120e-03,6.374202604022440044e-02,2.679638160881129827e-01,2.143330775398539778e+00,1.505580409469150049e-05,1.469065770665749949e-05
